client_id,round_number,hierarchy,num_samples,set,accuracy,loss
CiaraRenee,0,,13,test,0.0,0.6932624578475952
CircusKelli,0,,11,test,1.0,0.6929721832275391
CitizenSwift,0,,14,test,0.0,0.6934105157852173
ClaireOJD,0,,25,test,0.6666666666666666,0.6930118203163147
Claire_SnugBaby,0,,14,test,0.0,0.6934546828269958
Clarkey4boro,0,,11,test,1.0,0.6930050849914551
Claudia_12,0,,10,test,0.0,0.6931765675544739
CocoaGeek,0,,24,test,0.0,0.693443775177002
ColoradoFoothil,0,,13,test,0.5,0.6930938959121704
ComcastBonnie,0,,29,test,0.3333333333333333,0.693240225315094
CompassWoman,0,,13,test,1.0,0.6929465532302856
ComplicatedMama,0,,14,test,1.0,0.6928766369819641
ConorMadden,0,,21,test,0.3333333333333333,0.6932085156440735
CooperHawkes,0,,22,test,1.0,0.6929323673248291
CormacOfFleetSt,0,,13,test,0.5,0.6931188106536865
CraigSuddo,0,,12,test,1.0,0.6929011344909668
Crescitelli,0,,11,test,0.5,0.6931107044219971
Critic6881,0,,10,test,0.0,0.6931504607200623
Crudsbigsis,0,,10,test,1.0,0.692841112613678
CrysChantille,0,,10,test,0.0,0.6933887600898743
Crysgutty,0,,11,test,0.5,0.6930757164955139
Custard_Socks,0,,13,test,1.0,0.6928215026855469
Cuttersftbll,0,,64,test,0.5714285714285714,0.6931697726249695
CynicalUprising,0,,10,test,0.0,0.6934932470321655
Cynnergies,0,,24,test,0.6666666666666666,0.6930208206176758
CyranDorman,0,,25,test,0.6666666666666666,0.6930420994758606
CyrusFan4Life,0,,42,test,0.6,0.6931124329566956
DJVendetta,0,,11,test,1.0,0.6929185390472412
DMB_,0,,16,test,1.0,0.6928213834762573
DWsBrewster,0,,20,test,0.0,0.6931911706924438
DameSaf,0,,10,test,1.0,0.693134069442749
DamienCripps,0,,23,test,1.0,0.6928537487983704
DannynhaMansani,0,,13,test,1.0,0.6928380131721497
